RECID,WGHT_PER,AGEC,SEX,HSDSIZEC,FR_Q140,EDU5,SRH_Q110,INCMC,
3014,926.4239,53,2,4,2,5,3,1,
16059,1329.0264,28,2,4,2,3,1,1,
4240,1152.1006,16,2,4,7,5,3,2,
3629,1115.0552,80,1,2,1,1,2,10,
13322,763.0769,35,2,5,4,1,4,2,
19539,772.7981,62,2,2,3,3,1,4,
9682,792.5619,64,2,2,1,3,1,99,
11164,654.9974,41,2,3,3,5,3,5,
13443,734.3091,71,1,2,2,1,1,99,
20762,786.3986,36,1,5,2,2,4,11,
1373,370.6622,33,2,1,3,2,1,9,
21398,699.6261,54,1,2,2,8,8,98,
7891,263.4461,80,2,2,1,2,3,7,
759,1115.0552,80,1,2,2,5,2,6,
7201,712.648,75,1,2,3,5,2,4,
20033,629.5605,69,2,2,4,3,3,6,
2095,492.1203,80,1,1,1,5,2,98,
13095,590.5308,80,2,1,3,5,4,98,
19527,629.5605,65,2,2,1,1,2,99,
14830,444.8837,62,1,2,2,1,2,6,
10105,1152.1006,19,2,4,1,3,3,5,
12156,699.6261,53,1,2,3,2,2,9,
8511,628.031,55,2,2,1,5,1,8,
12399,1276.6065,80,1,2,1,5,2,3,
8879,772.7981,60,2,2,2,4,2,98,
523,628.031,59,2,2,3,4,3,3,
20649,699.6261,54,1,2,2,1,3,12,
6320,629.5605,65,2,2,2,4,4,99,
3809,872.961,66,1,2,1,5,1,12,
12576,1282.7646,29,1,6,1,2,1,12,
15952,623.0551,45,2,4,2,4,1,1,
11091,443.3865,46,1,1,3,3,3,8,
16099,690.2719,44,2,2,3,5,1,7,
5466,699.6261,54,1,2,3,5,5,5,
20176,2760.5141,29,1,4,1,1,1,7,
7339,147.9061,46,2,1,3,2,3,9,
15023,670.6885,40,2,2,2,1,2,8,
8322,858.8116,63,1,2,1,2,4,11,
8312,926.4239,53,2,3,2,4,3,98,
1916,1152.1006,18,2,3,2,4,4,4,
1794,636.0893,49,2,2,2,3,2,10,
19452,858.8116,60,1,2,1,2,4,6,
19083,280.0589,52,2,1,4,9,5,99,
13772,443.3865,47,1,1,2,4,2,99,
19201,492.1203,80,1,1,1,4,2,9,
7693,414.5726,33,2,6,2,1,2,6,
3668,652.3569,47,2,2,3,4,3,6,
16598,402.0859,35,2,3,3,2,2,6,
28,566.1749,32,1,3,2,1,2,10,
2741,872.3179,44,1,3,1,2,3,4,
18637,598.4624,71,2,2,2,5,2,7,
12006,387.0993,60,1,1,1,5,2,7,
1054,275.3599,77,2,1,3,5,2,6,
18831,1035.4079,40,2,4,3,4,1,8,
8696,423.0831,35,1,2,2,3,4,9,
2054,699.6261,50,1,2,2,5,2,10,
988,361.1442,37,1,1,1,4,3,10,
2945,763.0769,35,2,4,2,1,1,9,
17340,699.6261,54,1,2,2,4,3,9,
12505,926.4239,54,2,3,2,4,2,8,
13407,696.8782,24,2,4,4,5,4,1,
