,RECID,WGHT_PER,AGEC,SEX,HSDSIZEC,FR_Q140,EDU5,SRH_Q110,INCMC,hsd_dif_sqr
5733,2115,271.1232,44,1,2,3,4,2,8,0.24395277464764714
5734,4973,230.8675,61,2,2,2,2,2,1,0.24395277464764714
5735,13941,307.8907,39,2,5,2,1,2,9,6.280458234866058
5736,21892,321.1499,38,1,4,2,1,2,11,2.268289748126587
5737,18393,306.7082,48,1,2,1,3,1,10,0.24395277464764714
5738,5891,276.4069,71,1,2,3,5,4,4,0.24395277464764714
5739,4965,106.8909,66,2,1,2,2,3,4,2.231784287908177
5740,8208,607.0417,28,1,3,1,1,2,11,0.25612126138711716
5741,889,307.8907,38,2,4,2,1,1,10,2.268289748126587
5742,11869,768.8283,47,2,1,2,2,3,9,2.231784287908177
5743,21729,1541.0714,71,2,2,2,2,2,6,0.24395277464764714
5744,15633,781.6442,64,2,1,2,2,2,11,2.231784287908177
5745,10503,210.3521,65,1,1,2,4,4,7,2.231784287908177
5746,18819,1114.6422,80,2,1,2,5,3,7,2.231784287908177
5747,14934,2855.3145,17,1,4,7,5,3,99,2.268289748126587
5748,13668,2258.188,38,1,4,3,2,2,7,2.268289748126587
5749,3222,1535.9413,50,2,3,2,2,3,11,0.25612126138711716
5750,11097,636.4215,58,2,1,3,1,2,8,2.231784287908177
5751,1289,1852.2477,59,1,2,3,4,1,98,0.24395277464764714
5752,13391,1790.4863,29,1,1,2,1,3,4,2.231784287908177
5753,16897,4189.0493,28,1,4,3,2,2,4,2.268289748126587
5754,8149,914.5098,44,1,1,2,1,2,12,2.231784287908177
5755,21570,3209.4019,43,1,4,3,4,1,3,2.268289748126587
5756,14936,1183.618,22,2,1,3,4,2,4,2.231784287908177
5757,8884,1989.754,41,1,4,2,3,1,12,2.268289748126587
5758,4073,2067.6033,36,2,2,1,1,2,8,0.24395277464764714
5759,1595,2258.188,37,1,4,2,1,1,11,2.268289748126587
5760,5735,1754.6256,44,2,4,2,1,2,2,2.268289748126587
5761,8069,4026.1722,29,1,2,2,1,1,11,0.24395277464764714
5762,10425,3807.0861,16,1,4,7,5,3,3,2.268289748126587
5763,5588,3807.0861,19,1,4,2,4,1,4,2.268289748126587
5764,13680,1966.5254,29,2,3,2,1,1,8,0.25612126138711716
5765,20447,1555.5431,61,1,2,1,1,2,9,0.24395277464764714
5766,5253,1402.1535,55,2,2,2,3,2,1,0.24395277464764714
5767,7479,781.6442,61,2,1,2,4,1,10,2.231784287908177
5768,16162,2019.6873,39,2,3,2,1,2,10,0.25612126138711716
5769,12688,1679.5657,60,2,2,1,1,3,98,0.24395277464764714
5770,12710,1848.2071,41,2,2,3,2,2,9,0.24395277464764714
5771,21742,2103.2302,55,2,3,8,2,1,98,0.25612126138711716
5772,12228,3807.0861,17,1,4,7,5,1,1,2.268289748126587
5773,9560,1781.8139,40,1,3,2,3,1,5,0.25612126138711716
5774,7672,2916.3151,28,2,3,2,3,1,98,0.25612126138711716
5775,9665,3702.2163,32,1,3,2,3,2,11,0.25612126138711716
5776,4170,611.3591,69,2,1,3,5,3,4,2.231784287908177
5777,21192,2482.589,44,2,4,2,1,1,99,2.268289748126587
5778,6858,1576.3323,77,1,2,2,5,2,6,0.24395277464764714
5779,19351,2022.195,38,1,3,2,1,1,12,0.25612126138711716
5780,4868,2295.2874,31,1,4,2,1,3,7,2.268289748126587
5781,20125,852.5747,35,2,1,2,1,1,10,2.231784287908177
5782,17594,2295.2874,33,1,4,2,3,3,7,2.268289748126587
5783,12273,2295.2874,32,1,3,2,4,3,11,0.25612126138711716
5784,20290,740.6836,40,2,1,1,1,2,12,2.231784287908177
